gdp,pce
13271.1,8867.6
13773.5,9208.2
14234.2,9531.8
14613.8,9821.7
14873.7,10041.6
14830.4,10007.2
14418.7,9847.0
14783.8,10036.3
15020.6,10263.5
15369.2,10449.7
15710.3,10699.7
